timeframe,group,segment,category,year,metric,value
full-year,fish,All,All,2018,Recruits,474633
full-year,hunt,All,All,2010,churn,0.37493907194
full-year,hunt,All,All,2011,churn,0.38490524952999994
full-year,hunt,All,All,2012,churn,0.3926921180299999
full-year,hunt,All,All,2013,churn,0.38070836746000003
full-year,hunt,All,All,2014,churn,0.3970171497
full-year,hunt,All,All,2015,churn,0.38615937519
full-year,hunt,All,All,2017,churn,0.38821081892
full-year,hunt,All,All,2018,churn,0.3529018998700001
full-year,hunt,All,All,2009,Participants,164128
full-year,hunt,All,All,2010,Participants,165329
full-year,hunt,All,All,2011,Participants,164261
full-year,hunt,All,All,2012,Participants,166072
full-year,hunt,All,All,2013,Participants,177146
full-year,hunt,All,All,2014,Participants,178359
full-year,hunt,All,All,2014,Recruits,43693
full-year,hunt,All,All,2015,Recruits,80516
full-year,hunt,All,All,2016,Recruits,48416
full-year,hunt,All,All,2017,Recruits,45163
full-year,hunt,All,All,2018,Recruits,44848
full-year,all_sports,All,All,2016,churn,0.53544277155
full-year,fish,All,All,2016,churn,0.546581951615
full-year,hunt,All,All,2016,churn,0.387185097055
full-year,hunt,All,All,2015,Participants,180057.53333333507
full-year,hunt,All,All,2016,Participants,183155.16190476436
full-year,hunt,All,All,2017,Participants,186252.79047619272
full-year,hunt,All,All,2018,Participants,189350.419047622
full-year,all_sports,gender,Female,2010,churn,0.6195805974699999
full-year,all_sports,gender,Female,2011,churn,0.61238401001
full-year,all_sports,gender,Female,2012,churn,0.6261625845300001
full-year,all_sports,gender,Female,2013,churn,0.60811622483
full-year,all_sports,gender,Female,2014,churn,0.61752444436
full-year,all_sports,gender,Female,2015,churn,0.60504879015
full-year,all_sports,gender,Female,2017,churn,0.596835112
full-year,all_sports,gender,Female,2018,churn,0.58454508431
full-year,fish,gender,Female,2010,churn,0.6276472635199999
full-year,fish,gender,Female,2011,churn,0.61959878517
full-year,fish,gender,Female,2012,churn,0.6329000151399999
full-year,fish,gender,Female,2013,churn,0.61452690167
full-year,fish,gender,Female,2014,churn,0.6236176476399999
full-year,fish,gender,Female,2015,churn,0.6105996280499999
full-year,fish,gender,Female,2017,churn,0.60208589643
full-year,fish,gender,Female,2018,churn,0.58920476463
full-year,hunt,gender,Female,2010,churn,0.48328518365999995
full-year,hunt,gender,Female,2011,churn,0.49332896783
full-year,hunt,gender,Female,2012,churn,0.49735908552999997
full-year,hunt,gender,Female,2013,churn,0.48842558243
full-year,hunt,gender,Female,2014,churn,0.5103112840499999
full-year,hunt,gender,Female,2015,churn,0.49368889989
full-year,hunt,gender,Female,2017,churn,0.48727602314999996
full-year,hunt,gender,Female,2018,churn,0.43103311047000004
full-year,all_sports,gender,Female,2009,Participants,251596
full-year,all_sports,gender,Female,2010,Participants,278149
full-year,all_sports,gender,Female,2011,Participants,321482
full-year,all_sports,gender,Female,2012,Participants,327985
full-year,all_sports,gender,Female,2013,Participants,357649
full-year,all_sports,gender,Female,2014,Participants,373436
full-year,all_sports,gender,Female,2015,Participants,396683
full-year,all_sports,gender,Female,2016,Participants,397676
full-year,all_sports,gender,Female,2017,Participants,390413
full-year,all_sports,gender,Female,2018,Participants,387701
full-year,all_sports,gender,Female,2014,Recruits,150404
full-year,all_sports,gender,Female,2015,Recruits,156979
full-year,all_sports,gender,Female,2016,Recruits,148025
full-year,all_sports,gender,Female,2017,Recruits,139463
full-year,all_sports,gender,Female,2018,Recruits,135009
full-year,fish,gender,Female,2009,Participants,247142
full-year,fish,gender,Female,2010,Participants,273619
full-year,fish,gender,Female,2011,Participants,317088
full-year,fish,gender,Female,2012,Participants,323400
full-year,fish,gender,Female,2013,Participants,352931
full-year,fish,gender,Female,2014,Participants,368862
full-year,fish,gender,Female,2015,Participants,392345
full-year,fish,gender,Female,2016,Participants,393404
full-year,fish,gender,Female,2017,Participants,386263
full-year,fish,gender,Female,2018,Participants,383702
full-year,fish,gender,Female,2014,Recruits,150085
full-year,fish,gender,Female,2015,Recruits,156793
full-year,fish,gender,Female,2016,Recruits,147729
full-year,fish,gender,Female,2017,Recruits,139255
full-year,fish,gender,Female,2018,Recruits,134747
full-year,hunt,gender,Female,2009,Participants,12115
full-year,hunt,gender,Female,2010,Participants,12217
full-year,hunt,gender,Female,2011,Participants,12685
full-year,hunt,gender,Female,2012,Participants,13478
full-year,hunt,gender,Female,2013,Participants,15420
full-year,hunt,gender,Female,2014,Participants,16162
full-year,hunt,gender,Female,2014,Recruits,6290
full-year,hunt,gender,Female,2015,Recruits,15451
full-year,hunt,gender,Female,2016,Recruits,8433
full-year,hunt,gender,Female,2017,Recruits,7856
full-year,hunt,gender,Female,2018,Recruits,7521
full-year,all_sports,gender,Female,2016,churn,0.600941951075
full-year,fish,gender,Female,2016,churn,0.6063427622399999
full-year,hunt,gender,Female,2016,churn,0.49048246151999997
